"","SubmissionID","StudentID","MarkerID","Publish.Time","Intro","Hypoth","Methods","Results.text","Fig.Tables","Legend.Title","Disc.InterpFindings","Disc.IntegrateLit","Refs","Kn.PhysMechs","Kn.ExpApproach","W.Structure","W.LanguageJargon","W.GrammarSpelling","Final.Grade"
"1",8681,"S8579731","T35","19/09/13 13:26",50,100,80,80,100,80,80,50,50,65,50,80,80,"80",70
"2",8682,"S8577287","T36","19/09/13 13:26",65,80,65,80,80,80,20,65,65,35,20,80,20,"35",55.25
"3",8683,"S8586053","T30","19/09/13 13:26",50,50,65,35,65,35,50,50,50,35,20,50,50,"50",47.75
"4",8684,"S8582337","T35","19/09/13 13:26",50,50,80,50,50,35,50,50,65,35,50,50,50,"50",51.5
"5",8685,"S8583557","T37","19/09/13 13:26",35,100,50,100,100,100,35,20,50,35,35,50,50,"65",51.75
"6",8686,"S8560941","T30","19/09/13 13:26",65,100,65,50,65,65,80,80,100,80,50,65,65,"65",71.5
"7",8687,"S8522699","T29","19/09/13 13:26",65,100,65,65,80,100,65,80,100,65,65,80,80,"100",75.75
"8",8688,"S8522305","T30","19/09/13 13:26",35,65,50,50,35,35,50,35,50,35,35,35,50,"65",43.25
"9",8689,"S8568505","T29","19/09/13 13:26",35,100,35,35,50,50,20,20,50,20,35,50,50,"35",37.5
"10",8690,"S8581211","T37","19/09/13 13:26",50,100,80,100,100,100,50,35,65,50,50,50,50,"65",63
"11",8691,"S8470217","T30","19/09/13 13:26",65,100,50,20,80,35,80,80,100,65,50,65,80,"80",67.75
"12",8692,"S8239027","T35","19/09/13 13:26",50,100,80,65,65,80,65,65,80,65,80,65,65,"80",69
"13",8693,"S8531973","T36","19/09/13 13:26",50,50,80,80,80,35,35,50,35,35,50,50,35,"50",50.75
"14",8694,"S8605993","T35","19/09/13 13:26",80,80,80,65,80,65,80,80,100,65,50,100,100,"100",79.5
"15",8695,"S8580175","T29","19/09/13 13:26",35,50,35,50,80,50,35,35,50,35,35,65,50,"65",44
"16",8696,"S8409209","T09","19/09/13 13:26",65,100,100,100,65,100,35,35,65,35,35,80,50,"65",63.25
"17",8697,"S8559519","T36","19/09/13 13:26",50,100,65,80,80,80,50,50,50,50,65,50,50,"65",60
"18",8698,"S8522785","T30","19/09/13 13:26",50,100,65,100,65,80,50,50,80,35,20,50,65,"65",58.75
"19",8699,"S8584681","T29","19/09/13 13:26",50,100,65,100,100,100,50,65,65,50,35,65,50,"80",65.25
"20",8700,"S8583875","T36","19/09/13 13:26",35,100,100,80,65,80,35,35,80,20,35,65,50,"100",57
