"","SubID","MarkerID","AnnotType","Page","Xlocation","Ylocation","Xdim","Ydim","Filename","Annotation","Duration.sec","Consent"
"1",3143,"T19","Highlight",4,0.223136,0.5951514,0.303591,0.2224133,"annot__2013_04_25_06_43_33.png","Annotation",NA,"Yes"
"2",3143,"T19","Recording",6,0.908443,0.2944947,30,30,"annot__2013_04_25_06_50_04.m4a","Annotation 31",41,"Yes"
"3",3143,"T19","Highlight",6,0.178591,0.1022661,0.6832511,0.07096042,"annot__2013_04_25_06_49_46.png","Annotation",NA,"Yes"
"4",3143,"T19","Highlight",2,0.196409,0.7152299,0.5174068,0.07678553,"annot__2013_04_25_06_35_07.png","Annotation",NA,"Yes"
"5",3143,"T19","Highlight",4,0.1326755,0.304955,0.6119792,0.3839276,"annot__2013_04_25_06_43_04.png","Annotation",NA,"Yes"
"6",3143,"T19","Recording",2,0.848136,0.7819538,30,30,"annot__2013_04_25_06_35_07.m4a","Annotation 4",39,"Yes"
"7",3143,"T19","Recording",5,0.8892544,0.2925762,30,30,"annot__2013_04_25_06_48_35.m4a","Annotation 27",32,"Yes"
"8",3143,"T19","Recording",2,0.942023,0.5844297,30,30,"annot__2013_04_25_06_37_40.m4a","Annotation 10",12,"Yes"
"9",3143,"T19","Highlight",2,0.1648849,0.1141845,0.7922149,0.6476462,"annot__2013_04_25_06_34_41.png","Annotation",NA,"Yes"
"10",3143,"T19","Highlight",2,0.2820724,0.7125821,0.5948465,0.09161308,"annot__2013_04_25_06_35_58.png","Annotation",NA,"Yes"
"11",3143,"T19","Recording",2,0.1073191,0.4419793,30,30,"annot__2013_04_25_06_36_41.m4a","Annotation 7",16,"Yes"
"12",3143,"T19","Text",4,0.4842379,0.5993878,0.07812499,0.03600977,"","Italics",NA,"Yes"
"13",3143,"T19","Recording",2,0.8693805,0.8756852,30,30,"annot__2013_04_25_06_38_09.m4a","Annotation 11",21,"Yes"
"14",3143,"T19","Text",2,0.4342105,0.5658952,0.2069627,0.03600977,"","Which receptor/s???",NA,"Yes"
"15",3143,"T19","Recording",6,0.8892544,0.1430419,30,30,"annot__2013_04_25_06_49_46.m4a","Annotation 30",9,"Yes"
"16",3143,"T19","Recording",2,0.890625,0.1539012,30,30,"annot__2013_04_25_06_30_06.m4a","Annotation 1",64,"Yes"
"17",3143,"T19","Recording",4,0.06003292,0.7767888,30,30,"annot__2013_04_25_06_43_33.m4a","Annotation 23",29,"Yes"
"18",3143,"T19","Recording",3,0.07990682,0.476201,30,30,"annot__2013_04_25_06_39_34.m4a","Annotation 14",32,"Yes"
"19",3143,"T19","Highlight",2,0.171738,0.4705753,0.2891996,0.04818954,"annot__2013_04_25_06_36_41.png","Annotation",NA,"Yes"
"20",3143,"T19","Highlight",5,0.04015901,0.1040544,0.8778782,0.75038,"annot__2013_04_25_06_49_36.png","Annotation",NA,"Yes"
"21",3143,"T19","Recording",5,0.0675713,0.1252366,30,30,"annot__2013_04_25_06_47_45.m4a","Annotation 26",18,"Yes"
"22",3143,"T19","Recording",4,0.9194079,0.2313468,30,30,"annot__2013_04_25_06_40_29.m4a","Annotation 16",79,"Yes"
"23",3143,"T19","Highlight",2,0.1498081,0.4515113,0.3536184,0.1387435,"annot__2013_04_25_06_37_18.png","Annotation",NA,"Yes"
