"","SubID","MarkerID","AnnotType","Page","Xlocation","Ylocation","Xdim","Ydim","Filename","Annotation","Duration.sec","Consent"
"1",8840,"T02","Text",3,0.551912,0.44456,0.08737665,0.02700732,"","Controls ?",NA,"Yes"
"2",8840,"T02","Text",6,0.7415708,0.416557,0.1058799,0.02700732,"","References ! ",NA,"Yes"
"3",8840,"T02","Text",4,0.3565995,0.121332,0.2487665,0.02700732,"","What is the highest contraction !?!?",NA,"Yes"
"4",8840,"T02","Freehand",4,0.1777344,0.1312611,0.6285979,0.2085124,"annot__2013_10_02_05_10_40.png","Annotation",NA,"Yes"
"5",8840,"T02","Text",4,0.13456,0.2170491,0.6321957,0.02700732,"","Please state the peak average contractile force at what passive tension then refer to the table . ",NA,"Yes"
"6",8840,"T02","Text",6,0.7837172,0.2974071,0.05653783,0.02700732,"","Good",NA,"Yes"
"7",8840,"T02","Text",6,0.7050782,0.1655478,0.2621299,0.06990131,"","Please make sure to specifically state your data points . then go on to refer the reader to the tale or figure you obtained the data from. ",NA,"Yes"
"8",8840,"T02","Freehand",4,0.3637952,0.1316583,0.1356908,0.04051099,"annot__2013_10_02_05_11_04.png","Annotation",NA,"Yes"
"9",8840,"T02","Freehand",3,0.2255345,0.408815,0.1649877,0.007943331,"annot__2013_10_02_04_57_38.png","Annotation",NA,"Yes"
"10",8840,"T02","Freehand",6,0.6675576,0.1186821,0.2713816,0.06592964,"annot__2013_10_03_11_36_56.png","Annotation",NA,"Yes"
"11",8840,"T02","Text",5,0.1813322,0.4153004,0.1716694,0.02700732,"","Number of replicates ? ",NA,"Yes"
"12",8840,"T02","Text",4,0.7811473,0.3163407,0.1593339,0.04130532,"","The sciatic nerve was stimulated ",NA,"Yes"
"13",8840,"T02","Text",5,0.3771587,0.8311337,0.260074,0.02700732,"","Good- you must include references . ",NA,"Yes"
"14",8840,"T02","Text",3,0.7585322,0.3555947,0.1942845,0.06990131,"","The gastrocnemius muscle was was attached to a force transducer. And power lab .",NA,"Yes"
"15",8840,"T02","Recording",5,0.9019327,0.524124,30,30,"annot__2013_10_03_11_32_00.m4a","Annotation 11",12,"Yes"
"16",8840,"T02","Freehand",5,0.188528,0.4256267,0.007195724,0.005560332,"annot__2013_10_03_11_32_00.png","Annotation",NA,"Yes"
"17",8840,"T02","Text",3,0.2625411,0.3885595,0.1377467,0.02700732,"","Sciatic nerve was ",NA,"Yes"
"18",8840,"T02","Text",5,0.891653,0.6265929,0.09148849,0.1270933,"","The nerves you are referring to are the alpha motor units . ",NA,"Yes"
"19",8840,"T02","Text",3,0.2286184,0.3321618,0.0390625,0.02700732,"","Ok",NA,"Yes"
"20",8841,"T01","Highlight",5,0.1731085,0.5868763,0.1655017,0.1259018,"annot__2013_09_24_08_28_36.png","Annotation",NA,"Yes"
"21",8841,"T01","Text",5,0.1062912,0.8450345,0.8120888,0.02700732,"","More muscle mass means more muscle filaments which leads to greater force of contraction and not the other way around ",NA,"Yes"
"22",8841,"T01","Text",4,0.1253083,0.8223309,0.3628701,0.02700732,"","Mention that each point is a mean of three replicates ",NA,"Yes"
"23",8841,"T01","Highlight",3,0.1001234,0.1474794,0.4348273,0.1362281,"annot__2013_09_24_08_08_57.png","Annotation",NA,"Yes"
