Submission ID,Marking_Time (seconds),Text (%),Drawing (%),Recording (%)
5518,846,61,17,22
5519,4406,52,45,3
5520,534,0,0,100
5521,2218,51,49,0
5522,788,0,0,100
5523,0,0,0,0
5524,734,11,22,67
5525,596,71,0,29
5526,366,92,0,8
5527,293,86,0,14
5528,629,0,0,100
5529,793,75,25,0
5530,436,13,7,80
5531,32,0,0,0
5532,304,0,0,100
5533,631,82,12,6
5534,2016,50,50,0
5535,867,0,0,100
5536,614,0,0,100
5537,1120,41,33,26
5538,465,0,0,100
5539,523,57,14,29
5540,955,0,0,100
5541,428,75,6,19
5542,910,73,13,13
5543,21,0,0,0
5544,340,0,0,100
5545,807,61,39,0
5546,718,71,6,24
5547,758,13,0,88
5548,5741,93,7,0
5549,1676,64,0,36
5550,563,0,0,100
5551,682,54,8,38
5552,868,56,19,25
5553,506,83,6,11
5554,578,50,6,44
5555,2001,52,48,0
5556,1085,89,11,0
5557,697,100,0,0
5558,469,14,7,79
5559,904,0,0,100
5560,1598,44,47,9
5561,638,0,67,33
5562,259,92,0,8
5563,1391,0,0,100
5564,783,33,0,67
5565,2361,76,6,18
5566,499,18,0,82
5567,543,10,0,90
5568,1055,28,28,44
5569,520,64,7,29
5570,1297,68,32,0
5571,1499,83,17,0
5572,1141,75,13,13
5573,493,43,0,57
5574,1080,70,25,5
5575,398,8,8,83
5576,967,64,29,7
5577,436,0,29,71
5578,1506,62,34,5
5579,1305,75,6,19
5580,583,36,0,64
5581,745,69,0,31
5582,492,0,0,100
5583,400,0,0,100
5584,613,73,0,27
5585,1092,0,53,47
5586,692,13,25,63
5587,678,0,0,100
5588,305,13,0,88
5589,649,55,0,45
5590,711,20,0,80
5591,457,0,0,100
5592,451,73,7,20
5593,864,57,14,29
5594,1077,54,31,15
5595,446,79,14,7
5596,577,0,0,100
5597,2125,47,30,23
5598,316,92,0,8
5599,1343,40,20,40
5600,616,57,14,29
5601,1022,59,35,6
5602,414,13,0,88
5603,1416,78,22,0
5604,3316,83,17,0
5605,415,77,0,23
5606,461,91,9,0
5607,597,38,0,63
5608,877,57,7,36
5609,1297,76,14,10
5610,736,55,0,45
5611,630,13,0,88
5612,1136,58,17,25
5613,326,88,0,13
5614,1044,27,46,27
5615,822,100,0,0
5616,975,86,0,14
5617,702,0,0,100
5618,574,73,0,27
5619,666,14,0,86
5620,1601,71,29,0
5621,691,53,12,35
5622,1063,88,12,0
5623,2051,55,45,0
5624,559,31,15,54
5625,586,0,0,100
5626,0,0,0,0
5627,654,0,0,100
5628,569,21,0,79
5629,17,0,0,0
5630,670,0,0,100
5631,840,87,14,0
5632,2539,0,0,100
5633,363,0,0,100
5634,3014,84,16,0
5635,420,60,15,25
5636,803,85,0,15
5637,704,13,13,75
5638,1485,52,48,0
5639,1001,0,0,100
5640,1235,57,43,0
5641,535,59,12,29
5642,583,73,0,27
5643,570,92,0,8
5644,628,0,18,82
5645,387,90,10,0
5646,779,62,38,0
5647,623,0,0,100
5648,2564,50,42,8
5649,483,0,0,100
5650,753,0,0,100
5651,352,93,0,7
5652,2174,100,0,0
5653,680,0,0,100
5654,213,0,0,0
5655,1444,55,32,14
5656,840,0,0,100
5657,671,63,11,26
5658,877,14,29,57
