"SubmissionID","StudentID","MarkerID","Publish.Time","Final.Grade","project","course","sem","report","OpenDuration.min","open.bin"
1486,"S8636723","T27","18/03/13 15:56",52,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",56.2398,"medium"
1487,"S8630445","T20","18/03/13 9:38",70,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",11.7276333333333,"medium"
1488,"S8643977","T15","18/03/13 15:55",68,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",59.9882166666667,"medium"
1489,"S8646317","T17","18/03/13 15:58",75,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",468.86465,"long"
1490,"S8606087","T23","16/03/13 17:20",77,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",1399.60236666667,"long"
1491,"S8636695","T21","18/03/13 9:40",80,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",303.528083333333,"long"
1492,"S8580053","T21","18/03/13 9:40",84,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",271.783933333333,"long"
1493,"S8637739","T17","18/03/13 15:58",36,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",259.066283333333,"long"
1494,"S8644661","T19","18/03/13 15:59",61,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",NA,"unopened"
1495,"S8644649","T21","18/03/13 9:40",82,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",1.9083,"medium"
1497,"S8635971","T15","18/03/13 15:55",36,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2.6591,"medium"
1499,"S8563497","T26","17/03/13 11:38",73,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.05435,"medium"
1500,"S8624045","T27","18/03/13 15:56",39,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",11.55,"medium"
1501,"S8646183","T24","20/03/13 18:05",84,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",181.93445,"long"
1503,"S8638729","T23","16/03/13 17:18",70,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",64.62525,"long"
1504,"S8630759","T17","18/03/13 15:58",59,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",35.8390833333333,"medium"
1505,"S8637287","T27","18/03/13 15:56",77,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",1.41836666666667,"medium"
1507,"S8645993","T10","18/03/13 15:57",70,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",187.348716666667,"long"
1508,"S8632837","T10","18/03/13 15:57",66,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2.22375,"medium"
1509,"S8645167","T17","18/03/13 15:58",52,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",257.52455,"long"
1510,"S8639267","T23","16/03/13 17:18",75,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",318.64845,"long"
1512,"S8643543","T17","18/03/13 15:58",75,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",1430.14016666667,"long"
1513,"S8623875","T01","18/03/13 9:39",32,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.84875,"medium"
1515,"S8605831","T27","18/03/13 15:56",73,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",27.2555166666667,"medium"
1516,"S8608219","T19","18/03/13 15:59",59,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",NA,"unopened"
1517,"S8641175","T23","16/03/13 17:18",70,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",514.034466666667,"long"
1519,"S8635259","T26","17/03/13 11:38",68,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",6.51921666666667,"medium"
1520,"S8644351","T10","18/03/13 15:57",57,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",982.570633333333,"long"
1522,"S8528077","T23","18/03/13 16:00",66,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.5011333333333,"medium"
1523,"S8580597","T10","18/03/13 15:57",73,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",1098.55265,"long"
1524,"S8630199","T23","18/03/13 16:00",66,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",15.2117333333333,"medium"
1525,"S8641711","T20","18/03/13 9:38",82,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",1.68043333333333,"medium"
1526,"S8593321","T23","16/03/13 17:18",75,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",8.93551666666667,"medium"
1527,"S8412939","T21","18/03/13 9:40",82,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",22.7863166666667,"medium"
1528,"S8610381","T19","18/03/13 15:59",61,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",NA,"unopened"
1529,"S8646011","T27","19/03/13 23:49",77,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",100.4074,"long"
1530,"S8640747","T10","18/03/13 15:57",75,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",262.937283333333,"long"
1531,"S8645077","T23","16/03/13 17:18",61,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",166.8895,"long"
1532,"S8606925","T10","19/03/13 23:50",80,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",6.24905,"medium"
1533,"S8641481","T10","18/03/13 15:57",66,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2.28423333333333,"medium"
1534,"S8633391","T21","18/03/13 9:40",48,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",148.031166666667,"long"
1535,"S8640183","T15","18/03/13 15:55",64,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",6.34975,"medium"
1536,"S8638951","T26","17/03/13 11:38",61,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",260.334083333333,"long"
1537,"S8637251","T15","18/03/13 15:55",73,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",308.804966666667,"long"
1538,"S8529073","T27","18/03/13 15:56",41,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",11.02855,"medium"
1540,"S8637209","T20","18/03/13 16:00",77,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",113.318533333333,"long"
1541,"S8577607","T27","18/03/13 15:56",52,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",0.2699,"short"
1542,"S8639171","T17","18/03/13 15:58",68,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",161.4723,"long"
1543,"S8634657","T15","18/03/13 15:55",73,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",113.425116666667,"long"
1544,"S8641791","T21","18/03/13 9:40",82,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",396.594433333333,"long"
1545,"S8626437","T24","20/03/13 18:05",86,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",377.3581,"long"
1546,"S8577791","T21","18/03/13 9:40",80,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",193.566433333333,"long"
1547,"S8642325","T17","18/03/13 15:58",59,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",805.349633333333,"long"
1548,"S8639801","T27","18/03/13 15:56",61,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",45.5768333333333,"medium"
