"StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent","project","course","sem","report","Final.Grade.calc","Final.Grade.percent"
"S8110327",1711,"T18","21/03/13 11:02",1,4,2,NA,3,4,3,2,4,3,2,4,NA,3,2781,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,73
"S8112239",2271,"T25","27/03/13 13:30",1,4,2,NA,3,4,3,3,3,3,4,4,NA,3,3385,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,77
"S8233701",1755,"T15","18/03/13 15:55",3,3,3,NA,4,4,0,4,4,3,3,4,NA,3,2579,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,80
"S8234819",2261,"T03","25/03/13 5:41",4,2,4,NA,0,1,4,4,3,3,4,4,NA,3,2782,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,75
"S8236749",1929,"T09","22/03/13 12:53",4,4,3,NA,4,4,2,3,4,4,0,4,NA,4,2580,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,82
"S8243911",1934,"T10","22/03/13 7:20",4,4,1,NA,4,4,2,1,1,0,0,1,NA,2,2753,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,50
"S8244607",2026,"T02","26/03/13 10:56",3,4,1,NA,3,4,1,3,3,2,2,3,NA,3,2744,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,66
"S8287253",1707,"T27","19/03/13 23:49",3,4,3,NA,2,4,2,2,2,2,2,2,NA,2,2581,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,64
"S8345077",1793,"T01","18/03/13 9:39",3,2,1,NA,0,3,1,3,4,1,0,3,NA,2,2582,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,48
"S8349949",5454,"T19","4/06/13 9:01",3,4,3,NA,3,4,3,3,3,3,0,3,NA,3,2583,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,73
"S8352301",1932,"T19","19/03/13 16:01",1,2,2,NA,2,3,2,2,1,1,0,2,NA,2,3354,"No login","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,41
"S8392669",2249,"T26","24/03/13 6:19",4,4,3,NA,3,3,2,2,2,2,0,2,NA,3,2589,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,61
"S8393733",1973,"T26","24/03/13 6:19",3,4,4,NA,4,3,4,3,3,3,0,4,NA,3,2490,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,80
"S8402295",1978,"T15","18/03/13 15:55",3,4,2,NA,3,3,3,4,3,2,1,3,NA,3,463,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,70
"S8408443",2013,"T10","25/03/13 11:44",4,1,2,NA,3,3,2,2,3,3,2,3,NA,3,2588,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,64
"S8409235",1749,"T26","19/03/13 23:46",4,3,2,NA,0,3,4,1,1,0,1,2,NA,2,2586,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,48
"S8412939",1527,"T21","18/03/13 9:40",3,4,3,NA,3,4,4,3,3,3,2,4,NA,3,2584,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,82
"S8419401",1725,"T05","20/03/13 11:45",4,4,3,NA,3,4,4,2,4,3,1,4,NA,3,2783,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,82
"S8421487",1922,"T21","19/03/13 23:48",3,4,3,NA,3,4,4,3,3,4,4,4,NA,4,2720,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",4,89
"S8440585",1914,"T01","18/03/13 9:39",4,4,2,NA,0,3,3,4,4,4,3,4,NA,3,3326,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,80
"S8465969",1736,"T15","18/03/13 15:55",3,4,2,NA,4,4,3,3,2,2,4,3,NA,3,2599,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,77
"S8469617",2083,"T10","27/03/13 13:30",4,4,2,NA,3,4,3,3,4,3,4,4,NA,4,2597,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,86
"S8470217",1839,"T17","21/03/13 9:38",4,4,4,NA,4,0,3,3,3,2,2,4,NA,3,2598,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,75
"S8471467",2050,"T05","26/03/13 13:27",2,4,4,NA,4,4,4,4,2,3,2,4,NA,3,2596,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,84
"S8472157",1928,"T10","22/03/13 12:53",4,4,3,NA,0,3,3,1,2,2,0,2,NA,2,2593,"No login","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,55
"S8472529",1699,"T02","21/03/13 9:45",3,1,1,NA,3,4,4,1,3,1,0,2,NA,2,2591,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,52
"S8474623",2028,"T12","22/03/13 10:09",4,4,2,NA,3,3,2,3,2,2,4,3,NA,3,1526,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,73
"S8500505",2293,"T23","25/03/13 11:44",3,3,1,NA,1,4,1,3,2,0,1,3,NA,2,2731,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,50
"S8514165",1781,"T05","24/03/13 6:23",2,3,3,NA,3,4,2,2,2,3,4,2,NA,3,2216,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,68
"S8518775",1723,"T26","18/03/13 9:36",4,4,3,NA,2,4,4,2,2,2,0,3,NA,3,2600,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,68
"S8522707",1693,"T03","20/03/13 11:47",2,4,2,NA,3,3,3,2,3,2,2,4,NA,3,2619,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,68
"S8522735",1808,"T05","20/03/13 11:45",3,4,3,NA,3,4,4,2,4,4,4,4,NA,4,2755,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",4,89
"S8523451",1995,"T15","24/03/13 6:20",4,4,3,NA,4,3,3,4,4,4,4,4,NA,4,2607,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",4,93
"S8523551",2016,"T01","19/03/13 15:59",3,4,2,NA,3,4,1,1,3,2,1,2,NA,3,2609,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,59
"S8524785",1910,"T05","20/03/13 11:45",3,4,3,NA,3,4,4,2,4,3,2,4,NA,3,2608,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,82
"S8525405",2277,"T03","25/03/13 5:41",4,4,3,NA,2,3,3,0,0,0,0,1,NA,2,2610,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,45
"S8526409",2035,"T25","27/03/13 13:30",2,2,2,NA,4,3,2,2,2,3,0,3,NA,2,2602,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,57
"S8527007",2222,"T10","31/03/13 13:59",4,4,1,NA,4,4,4,2,3,2,0,3,NA,3,2785,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,70
"S8527483",2001,"T26","24/03/13 6:19",3,4,2,NA,2,3,0,3,2,2,1,3,NA,2,2612,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,57
"S8528077",1522,"T23","18/03/13 16:00",4,2,2,NA,4,4,2,3,3,2,0,3,NA,3,2603,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,66
"S8529073",1538,"T27","18/03/13 15:56",3,1,2,NA,1,3,2,1,2,1,0,2,NA,2,2618,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,41
"S8531393",1798,"T03","20/03/13 11:47",2,3,4,NA,4,3,3,4,4,4,2,4,NA,3,1559,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,84
"S8531397",1732,"T23","19/03/13 23:45",4,4,3,NA,3,4,4,4,3,2,4,4,NA,4,2617,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",4,89
"S8533063",1672,"T10","22/03/13 7:20",4,4,1,NA,4,4,2,2,2,1,1,2,NA,3,2614,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,61
"S8533845",1771,"T02","21/03/13 6:14",3,4,4,NA,3,4,1,1,2,2,2,2,NA,3,2722,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,64
"S8534169",1867,"T05","24/03/13 6:23",2,4,4,NA,3,4,4,3,4,4,2,4,NA,4,2606,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,86
"S8534399",1734,"T10","22/03/13 12:53",4,4,2,NA,4,4,4,0,0,2,0,2,NA,2,2611,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,59
"S8534493",1963,"T19","25/03/13 5:41",3,4,3,NA,2,3,3,2,2,2,1,2,NA,3,2605,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,61
"S8538277",2002,"T23","24/03/13 6:18",4,4,1,NA,4,0,2,3,2,1,0,2,NA,2,2620,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,52
"S8546995",1692,"T24","20/03/13 18:05",4,4,2,NA,3,3,2,3,3,3,0,3,NA,3,2622,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,68
"S8550039",1919,"T01","18/03/13 9:39",3,4,1,NA,3,3,3,2,4,4,0,3,NA,3,2623,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,68
"S8550417",1674,"T23","18/03/13 16:00",2,4,2,NA,3,4,3,3,2,0,0,4,NA,3,2625,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,61
"S8550529",2038,"T19","25/03/13 5:41",3,4,3,NA,3,2,3,2,3,2,4,2,NA,3,2624,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,70
"S8552401",1969,"T01","19/03/13 15:59",4,2,1,NA,2,4,2,3,3,3,4,2,NA,3,1224,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,68
"S8559519",1731,"T19","21/03/13 21:57",3,2,2,NA,4,3,2,2,2,2,0,2,NA,2,2626,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,55
"S8562839",2196,"T23","24/03/13 6:18",3,1,4,NA,2,4,3,2,2,0,0,2,NA,2,2728,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,52
"S8563497",1499,"T26","17/03/13 11:38",4,4,2,NA,2,3,1,4,3,4,1,4,NA,3,2772,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,73
"S8564119",2303,"T12","22/03/13 10:09",4,4,3,NA,3,3,3,3,3,2,2,3,NA,3,3313,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,75
"S8565137",1556,"T20","18/03/13 9:38",4,4,4,NA,3,4,3,3,2,2,0,3,NA,3,2732,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,73
"S8566047",1753,"T19","18/03/13 15:59",1,4,2,NA,2,2,2,2,2,3,4,2,NA,2,3272,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",2,59
"S8567051",1862,"T15","18/03/13 15:55",3,4,3,NA,3,4,2,4,3,3,0,4,NA,3,2717,"Yes","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3,75
