"StudentID","Report 0","Report 1","Report 2","Report 3"
"S8013163",0,88,69,92
"S8110327",73,81,88,83
"S8112187",0,86.75,61.5,0
"S8159757",0,83,88,96
"S8199113",0,83,90,71
"S8230417",0,83,92,83
"S8233701",80,85,94,88
"S8234819",75,69,73,81
"S8236749",82,94,0,0
"S8239027",0,69,83,0
"S8240447",0,79,96,88
"S8241553",0,63,68.25,0
"S8242993",0,70.75,82.25,0
"S8243177",0,73,62,88
"S8243861",0,65,56,90
"S8243911",50,79,92,79
"S8244607",66,81,81,69
"S8265503",0,46,60,58
"S8282157",0,46,75.75,0
"S8283853",0,65,81,81
"S8286113",0,88,83,100
"S8286709",0,71,77,69
"S8287253",64,77,81,92
"S8288085",0,71,85,81
"S8288655",0,58.75,57.75,0
"S8288857",0,61.75,75.5,0
"S8345077",48,69,69,96
"S8349949",73,42,50,75
"S8350395",0,77,52,0
"S8352301",41,0,0,0
"S8353095",0,71,92,94
"S8354115",0,76.25,83.75,0
"S8357111",0,70.75,38.5,0
"S8358393",0,64.75,80,0
"S8358653",0,73.5,85,0
"S8375791",0,65,79,79
"S8377019",0,67,71,81
"S8378431",0,90,92,90
"S8386049",0,59.5,67.5,0
"S8393353",0,58,67.75,0
"S8393733",80,94.5,55.5,65
"S8395315",0,0,81,67
"S8395953",0,85,77,81
"S8396315",0,42,0,0
"S8401051",0,77,81,85
"S8401725",0,71,78,0
"S8401995",0,43.75,52.5,0
"S8402295",70,77,79,81
"S8402471",0,72,0,0
"S8404103",0,73,94,92
"S8405073",0,63.25,69.25,0
"S8405787",0,92,90,92
"S8406211",0,69,90,90
"S8406251",0,50,77.5,0
"S8407219",0,40,0,0
"S8408443",64,79,90,94
"S8408593",0,0,65,0
"S8409209",0,63.25,83.25,0
"S8409235",48,75,85,0
"S8411331",0,56,0,0
"S8412417",0,71,65,79
"S8412939",82,60,90,92
"S8419165",0,75,0,0
"S8419401",82,83,58,0
"S8419713",0,63.75,61.25,0
"S8421487",89,90,85,94
"S8434173",0,94,0,92
"S8434511",0,78.5,66,0
"S8438811",0,73,0,83
"S8440585",80,81,85,79
"S8440997",0,52.25,0,0
"S8452823",0,48.5,52.5,0
"S8456015",0,66.25,50,0
"S8456363",0,24.25,51.75,0
"S8458433",0,38.75,57,0
"S8458723",0,76,82.75,0
"S8459765",0,42,0,0
"S8461197",0,54,40,56
"S8463437",0,88,0,79
"S8465383",0,45.25,56.75,0
"S8465969",77,90,88,81
"S8466385",0,39,58.5,0
"S8466901",0,85,98,96
"S8467117",0,46.25,0,0
"S8467383",0,69,85,73
"S8467459",0,88,94,94
"S8467537",0,66.75,72.25,0
"S8468001",0,58,83,98
"S8468213",0,98,90,79
"S8468457",0,50.75,63.5,0
"S8468597",0,74.25,69.75,0
"S8468599",0,79,96,94
"S8468811",0,67,71,71
"S8469129",0,60.75,69.75,0
"S8469311",0,50,85,67
"S8469393",0,79,92,94
"S8469617",86,67,75,88
"S8470877",0,71,79,85
"S8471011",0,85,98,96
"S8471349",0,88,96,92
"S8471431",0,0,81,0
"S8471835",0,56.25,40.25,0
"S8472157",55,0,0,0
"S8472219",0,63.5,65,0
"S8472529",52,73,79,94
"S8472709",0,12.25,23.5,0
"S8473159",0,69,92,79
"S8473175",0,94,85,88
"S8473277",0,50,54.5,0
"S8473399",0,67,88,90
"S8473749",0,47.5,76,0
"S8474175",0,0,28.25,0
"S8474623",73,90,79,85
"S8475495",0,81,0,0
"S8475961",0,49.5,52.25,0
"S8479313",0,67,90,92
"S8492693",0,62.25,0,0
"S8492893",0,69,75,75
"S8492895",0,99,72,0
"S8496455",0,53.75,80.5,0
"S8496519",0,92,0,0
"S8496539",0,71.25,74,0
"S8497039",0,37.5,94,0
"S8497727",0,92,94,100
"S8500505",50,77,71,83
"S8508855",0,65,81.75,0
"S8510981",0,71,61.25,0
"S8514165",68,71,73,73
"S8514393",0,0,43.5,0
"S8514505",0,0,69.25,0
"S8514657",0,44,90,94
"S8515233",0,85.5,91.25,0
"S8516015",0,77,98,98
"S8516021",0,75,80.75,0
"S8517001",0,63,75.5,0
"S8517757",0,66.5,73,0
"S8518663",0,50,70.5,0
"S8518775",68,81,69,94
"S8521007",0,50.25,0,0
"S8522305",0,43.25,75,0
"S8522699",0,75.75,77.75,0
"S8522707",68,73,0,81
"S8522735",89,71,88,92
"S8522785",0,58.75,82,0
"S8522963",0,67.75,70,0
"S8523451",93,92,92,92
"S8523503",0,60.5,75.5,0
"S8523551",59,73,65,90
"S8524681",0,77,19,75
"S8524785",82,69,83,94
"S8524901",0,73.25,71.25,0
"S8525047",0,51.75,69.75,0
"S8525121",0,52,79,96
"S8525231",0,54.25,70.75,0
"S8525291",0,54.75,76.5,0
"S8525405",45,88,98,88
"S8525469",0,81,85,100
"S8525581",0,52,69,79
"S8526001",0,65,77,75
"S8526059",0,81,79,77
"S8526409",57,73,83,81
"S8526807",0,45.75,70.75,0
"S8527007",70,71,75,88
"S8527279",0,87.75,82.5,0
"S8527413",0,59.75,68.75,0
"S8527477",0,65.5,75.25,0
"S8527483",57,81,92,0
"S8527661",0,56,72,0
"S8528077",66,75,83,90
"S8528555",0,90,85,90
"S8528659",0,65,68.75,0
"S8528959",0,66.75,87.25,0
"S8529073",41,65,77,79
"S8529233",0,85,79,90
"S8529621",0,100,42.25,0
"S8529919",0,61,74.25,0
"S8530189",0,77.25,84.25,0
"S8530361",0,70.5,71.5,0
"S8530473",0,58,60.5,0
"S8530557",0,62.75,86.25,0
"S8530961",0,61.25,60.75,0
"S8531381",0,48,62.75,0
"S8531393",84,88,94,90
"S8531397",89,75,81,85
"S8531435",0,0,62,0
"S8531451",0,62,71,58
"S8531527",0,75,58,60
"S8531973",0,50.75,57,0
"S8532163",0,58.5,60.5,0
"S8532305",0,71.75,72,0
"S8532807",0,58.25,45.5,0
"S8532831",0,77,92,75
"S8533063",61,75,83,79
"S8533837",0,77,75,0
"S8533845",64,83,81,92
"S8533943",0,73,94,0
"S8534169",86,83,92,98
"S8534399",59,77,75,81
"S8534409",0,47.75,48.5,0
"S8534493",61,75,92,85
"S8534541",0,62,60,42
"S8535021",0,71.25,61,0
"S8535091",0,54,71,69
"S8535223",0,32,7,0
"S8535537",0,60,58.75,0
"S8535705",0,67.75,61.25,0
"S8535761",0,66.25,74.75,0
"S8536815",0,0,71,73
"S8536879",0,54.5,59.5,0
"S8536957",0,28,46.5,0
"S8537437",0,83,90,88
"S8538157",0,51,65.5,0
"S8538277",52,75,92,81
"S8542895",0,83,94,94
"S8542919",0,62,75.25,0
"S8546995",68,92,90,88
"S8547953",0,59.5,68,0
"S8548067",0,23,31.5,0
"S8549773",0,79.25,90,0
"S8549911",0,77.75,91.25,0
"S8550039",68,71,92,90
"S8550323",0,40.25,69.25,0
"S8550417",61,88,98,96
"S8550483",0,77,69,83
"S8550529",70,58,94,90
"S8550545",0,77,88,88
"S8551691",0,41.75,68.75,0
"S8552367",0,65,92,92
"S8552401",68,69,65,85
"S8556233",0,74.75,71.75,0
"S8560941",0,71.5,80,0
"S8562839",52,77,75,94
"S8563497",73,92,85,92
"S8563733",0,60,68.25,0
"S8563805",0,42.5,45,0
"S8564119",75,73,81,85
"S8564663",0,75,71,81
"S8564929",0,63.25,81.5,0
"S8565137",73,88,83,90
"S8566047",59,0,90,94
"S8566073",0,60,75,0
"S8566611",0,59.75,79.25,0
"S8566849",0,41,57,0
"S8566867",0,88.25,94.75,0
"S8567033",0,37.25,56.75,0
"S8567051",75,67,75,83
"S8568197",0,56.25,65.75,0
"S8568395",0,54,85,81
"S8568505",0,37.5,49.25,0
"S8568717",77,81,67,77
"S8568723",0,83,94,100
"S8568767",0,81,92,88
"S8568775",0,71,88,81
"S8568785",0,90,88,92
"S8568841",0,77,98,79
"S8568859",0,67,94,92
"S8568873",0,79,90,73
"S8568895",0,79,73,88
"S8568937",0,69,94,92
"S8568961",0,79,98,96
"S8568967",0,94,94,88
"S8568989",0,52,65,83
"S8569297",0,69,92,73
"S8569389",0,81,69,83
"S8569461",0,81,88,85
"S8569481",84,92,92,96
"S8569489",0,88,96,100
"S8569507",0,81,90,88
"S8569771",0,73,92,100
"S8570207",0,75,52.25,0
"S8570275",0,81,90,88
"S8570477",0,66.25,68,0
"S8571161",0,62,74.75,0
"S8571187",0,63,76.5,0
"S8571247",0,67,71,77
"S8571599",0,85,90,88
"S8571601",73,0,0,0
"S8571609",0,62,81,73
"S8572003",66,69,88,81
"S8572329",0,71,65,81
"S8572377",0,53,62,0
"S8572813",55,58,56,0
"S8572981",73,75,96,83
"S8573027",68,67,81,85
"S8574607",0,70,84.25,0
"S8574613",0,42.75,53.75,0
"S8574911",0,47.75,81,0
"S8575039",0,74,74,0
"S8575041",57,81,19,75
"S8575171",0,54.5,70.25,0
"S8575311",0,47.75,67.75,0
"S8575395",61,92,98,88
"S8575513",0,61,50.75,0
"S8575597",0,60,0,90
"S8575679",0,67,73,67
"S8575681",0,48,75,75
"S8575693",0,71.25,83.25,0
"S8575723",0,90.25,92.25,0
"S8575753",0,73,90,0
"S8575863",0,60,52,48
"S8575925",0,51.5,77,0
"S8575941",0,50.75,70.25,0
"S8575977",0,65,59.75,0
"S8576023",0,75,75,69
"S8576127",0,72.25,64.75,0
"S8576147",66,71,75,75
"S8576175",0,68.75,75,0
"S8576295",0,61.5,79.25,0
"S8576405",0,88.75,71.25,0
"S8576407",70,85,73,88
"S8576411",0,58.25,64,0
"S8576417",0,77,85,88
"S8576429",0,75,58,0
"S8576443",61,44,98,85
"S8576649",0,67,83,79
"S8576659",0,97,72.5,0
"S8576713",0,46,44,90
"S8576773",0,49.75,69,0
"S8576779",70,77,90,92
"S8576795",0,49.5,69.75,0
"S8576823",80,83,94,88
"S8576833",68,88,88,88
"S8576851",0,63.5,63.5,0
"S8576965",73,81,92,92
"S8576993",0,75.25,69,0
"S8577053",61,65,62,62
"S8577063",50,56,85,94
"S8577127",0,58.75,67.5,0
"S8577203",61,58,88,83
"S8577231",75,77,81,94
"S8577287",0,81.5,99.25,0
"S8577303",0,79.5,79,0
"S8577309",0,74.75,73.25,0
"S8577419",0,92,81,98
"S8577439",59,77,67,88
"S8577441",0,90,75,0
"S8577607",52,75,62,79
"S8577631",0,0,77.5,0
"S8577723",0,44.75,66.75,0
"S8577743",57,88,77,88
"S8577771",0,83,0,0
"S8577791",80,77,85,98
"S8577935",0,72.5,75.5,0
"S8577989",0,0,51.25,0
"S8578079",0,43.75,62.25,0
"S8578171",0,81,77,83
"S8578397",0,57.5,64.75,0
"S8578403",0,75,83.5,0
"S8578527",0,50.75,73,0
"S8578535",0,72.25,83.75,0
"S8578567",0,0,73,69
"S8578667",0,85,73,90
"S8578677",0,60,92,98
"S8578683",0,83,92,77
"S8578757",0,56.75,55.75,0
"S8578783",0,57,74.5,0
"S8578817",70,79,60,42
"S8578821",0,69.5,91.25,0
"S8578885",0,78.75,68.5,0
"S8578911",0,75.25,82,0
"S8578937",84,71,90,94
"S8578943",0,62.25,73.5,0
"S8579027",0,71,77,92
"S8579033",0,73,81,75
"S8579073",0,74,73,0
"S8579079",0,83,96,94
"S8579205",0,78,76.75,0
"S8579223",0,44.75,60.5,0
"S8579225",0,76,73.25,0
"S8579313",0,75,81.5,0
"S8579327",0,65,69,69
"S8579423",0,78.25,95,0
"S8579457",77,88,77,92
"S8579545",0,39.25,43,0
"S8579547",0,78,74.75,0
"S8579637",0,67,85.75,0
"S8579745",0,41.75,61,0
"S8579773",0,54,62,83
"S8579793",0,76.75,81.25,0
"S8579837",34,88,88,88
"S8579853",0,64.75,82.25,0
"S8579953",0,84.75,92.5,0
"S8579973",0,64,64.5,0
"S8579995",0,83,90,94
"S8580053",84,77,79,92
"S8580105",0,85,83,92
"S8580137",0,90,90,96
"S8580159",0,64.75,68.25,0
"S8580175",0,44,60.25,0
"S8580193",0,44.75,64,0
"S8580209",0,71,73,0
"S8580223",0,66,66.5,0
"S8580303",0,56.75,69.5,0
"S8580361",0,62.5,84.25,0
"S8580399",0,76.25,73.25,0
"S8580417",55,48,46,65
"S8580593",0,71.25,72.5,0
"S8580595",0,53,87.25,0
"S8580597",73,88,85,83
"S8580759",0,73,85,94
"S8580779",75,79,90,83
"S8580813",70,71,92,90
"S8580849",0,88,96,96
"S8580869",0,46.25,74.75,0
"S8580939",73,46,56,60
"S8580967",0,61.25,76.25,0
"S8581053",0,75,73,94
"S8581099",0,59.75,88,0
"S8581179",0,77,85,96
"S8581181",0,42,71,67
"S8581209",66,77,71,69
"S8581211",0,63,70.75,0
"S8581235",0,53.25,70.75,0
"S8581241",0,37,65,0
"S8581449",0,69,88,81
"S8581505",0,42.5,68.5,0
"S8581563",70,65,71,75
"S8581571",0,65.25,78,0
"S8581667",0,82,93,0
"S8581691",0,74,54.75,0
"S8581749",70,94,94,98
"S8581785",0,66.75,85,0
"S8581807",0,33,54.75,0
"S8581813",0,69,83,79
"S8581873",0,67,93,0
"S8581883",0,58,81,92
"S8581945",0,67,93.25,0
"S8581957",0,71,0,71
"S8581963",0,77.25,82.75,0
"S8582135",0,85,90,92
"S8582195",0,62,73.25,0
"S8582201",0,36.5,60.25,0
"S8582337",0,51.5,60,0
"S8582385",80,94,0,98
"S8582439",91,90,85,88
"S8582443",95,94,100,96
"S8582459",0,67,71,83
"S8582581",77,73,67,71
"S8582651",0,60.5,69.5,0
"S8582671",0,77,98,100
"S8582679",55,77,94,94
"S8582683",0,73,88,92
"S8582703",73,88,81,92
"S8582755",0,73,75,81
"S8582837",0,64.25,81.25,0
"S8582971",0,77,0,81
"S8583053",0,44,64.25,0
"S8583165",0,63.5,75.25,0
"S8583177",0,81,90,90
"S8583249",0,68.75,88.25,0
"S8583261",61,88,85,98
"S8583279",82,85,100,88
"S8583285",0,46,0,0
"S8583291",0,63.75,85.5,0
"S8583305",0,61.75,68.5,0
"S8583385",0,59.5,85,0
"S8583463",0,88,81,88
"S8583465",0,60.5,72.75,0
"S8583591",0,73,0,100
"S8583641",0,71,77.25,0
"S8583741",0,65,75,77
"S8583779",0,51.75,52.25,0
"S8583787",0,75,88,81
"S8583795",0,71.5,43.75,0
"S8583847",0,73.5,80.5,0
"S8583875",0,57,53.75,0
"S8583931",0,88,92,94
"S8583963",77,73,92,88
"S8584077",0,70.5,71,0
"S8584203",0,83,90,100
"S8584217",0,67.25,88,0
"S8584231",0,65,38,62
"S8584233",64,77,90,88
"S8584243",0,75,69,60
"S8584299",0,71,83,69
"S8584303",0,59.25,97,0
"S8584333",0,79,94,92
"S8584619",0,0,0,85
"S8584785",0,56.75,71.5,0
"S8584829",57,73,85,79
"S8584831",0,75.25,54.5,0
"S8584841",0,63.75,72.75,0
"S8584921",66,85,88,88
"S8584975",73,58,73,81
"S8585081",0,62.75,89,0
"S8585105",0,60.75,77.25,0
"S8585237",0,66.75,0,0
"S8585269",55,67,81,73
"S8585427",57,67,0,0
"S8585441",75,77,92,96
"S8585485",0,81,100,96
"S8585503",0,84.75,92,0
"S8585693",0,56.25,59,0
"S8585829",66,81,88,98
"S8585875",59,73,54,62
"S8585881",68,56,0,85
"S8585907",84,85,90,94
"S8585921",0,44.75,69.25,0
"S8585961",0,67,69,67
"S8586021",82,62,69,90
"S8586041",66,81,73,35
"S8586053",0,47.75,66.75,0
"S8586097",0,0,25,0
"S8586119",0,69,65,79
"S8586153",0,65,90.5,0
"S8586205",48,67,90,83
"S8586207",0,76.5,84.75,0
"S8586403",0,47.5,62.75,0
"S8586423",0,44,58,73
"S8586437",0,58.75,66.5,0
"S8586447",64,81,85,90
"S8586471",57,56,0,52
"S8586507",0,69,72.5,0
"S8586563",0,57,64.25,0
"S8586619",0,0,58.5,0
"S8586659",0,64.75,89,0
"S8586667",0,58,71,65
"S8586675",0,88,90,96
"S8586727",0,49.5,70,0
"S8586735",66,75,94,83
"S8586831",68,48,85,96
"S8586849",0,79,73,83
"S8586867",77,0,88,81
"S8586901",0,72,74.5,0
"S8586949",0,63.75,73.25,0
"S8587161",0,75,0,71
"S8587235",0,54.75,82.5,0
"S8587341",61,62,94,90
"S8587345",73,56,83,90
"S8587353",0,83,94,90
"S8587441",57,69,69,81
"S8587563",86,85,88,92
"S8587633",0,84.75,89,0
"S8587651",0,39.5,78.25,0
"S8587675",70,52,58,88
"S8587685",0,73,80,0
"S8587705",0,80.5,87.75,0
"S8587773",0,44,56,60
"S8587825",0,74,86,0
"S8587847",0,69.5,89.25,0
"S8587869",0,59.5,77,0
"S8587875",0,77,75,79
"S8587929",64,65,88,94
"S8587975",0,58.25,91.25,0
"S8587977",0,80,95.25,0
"S8588003",0,65.25,61.75,0
"S8588005",0,69,90,96
"S8588015",0,35.75,66.5,0
"S8588109",0,59.25,67.5,0
"S8588221",0,57.5,80.5,0
"S8588255",0,57.75,72.5,0
"S8588313",0,56,73,83
"S8588339",0,83.25,89,0
"S8588375",0,78.75,82,0
"S8588449",0,89.25,76,0
"S8588531",0,58,79,58
"S8588589",43,67,90,88
"S8588691",0,77,81,81
"S8588741",0,53.25,68.25,0
"S8588851",0,69,73,75
"S8588893",0,38.75,62.75,0
"S8589029",89,75,65,73
"S8589447",0,46.75,60,0
"S8589495",80,75,81,58
"S8589861",0,79,85,98
"S8590485",0,90,77,73
"S8591893",0,63.5,66.25,0
"S8591953",0,79,88,85
"S8592005",0,65,69,50
"S8592729",0,49.25,57.75,0
"S8592795",0,67.25,70.25,0
"S8592817",84,83,81,85
"S8593047",0,63,70.5,0
"S8593123",84,88,92,92
"S8593265",0,69.5,77,0
"S8593273",50,83,75,96
"S8593277",0,79,88,0
"S8593279",0,67.75,78,0
"S8593321",75,75,90,96
"S8593529",0,56,65,0
"S8594143",0,40.25,52.25,0
"S8595015",0,83,94,88
"S8595075",0,66.25,65,0
"S8597237",0,71,60,73
"S8597563",73,85,96,88
"S8597839",0,88,98,94
"S8597903",0,43.25,62.75,0
"S8598663",0,88,98,94
"S8600241",0,85.25,74.25,0
"S8600351",0,53,63.5,0
"S8600971",59,83,79,88
"S8602427",68,60,85,77
"S8602433",57,46,65,58
"S8602701",0,79,75,75
"S8602821",0,38.75,51.75,0
"S8603249",0,88,90,90
"S8603887",0,77,81,90
"S8604007",64,83,85,96
"S8605831",73,77,90,96
"S8605991",80,67,79,85
"S8605993",0,79.5,84,0
"S8605999",0,64.25,61.75,0
"S8606083",0,84,77.75,0
"S8606087",77,0,92,94
"S8606153",0,75,0,0
"S8606169",0,63.5,93.25,0
"S8606201",0,58,90,90
"S8606245",68,67,79,83
"S8606297",50,71,83,85
"S8606503",0,88,83,92
"S8606739",64,71,81,96
"S8606795",0,52,33,52
"S8606917",73,81,88,90
"S8606925",80,60,88,79
"S8607057",0,52,42,65
"S8607105",52,54,83,90
"S8607175",0,62,88,67
"S8607513",48,67,75,92
"S8607681",0,51.5,39.75,0
"S8607879",0,79,83,27
"S8607887",77,90,88,94
"S8607923",75,94,98,0
"S8608219",59,54,92,98
"S8608903",0,79.75,72.75,0
"S8609083",50,54,94,71
"S8610101",66,0,0,0
"S8610381",61,50,88,94
"S8611131",52,67,79,94
"S8612039",0,77,77,71
"S8612109",59,46,98,127
"S8612111",77,75,88,94
"S8612395",73,79,79,79
"S8612937",57,48,85,96
"S8613421",61,79,85,85
"S8613989",73,75,88,83
"S8614359",0,56,77,88
"S8614735",0,85,67,83
"S8614939",0,71,79,90
"S8615041",0,77,88,88
"S8615615",0,90,79,94
"S8616037",0,81,88,85
"S8616467",0,77,81,92
"S8617071",0,77,81,88
"S8617163",0,79,94,94
"S8618633",0,62,81,81
"S8619261",0,67,90,94
"S8619457",0,66.5,65.75,0
"S8619531",0,43.75,76.25,0
"S8619553",50,69,79,79
"S8620197",77,81,67,79
"S8623861",0,60,71,75
"S8623875",32,48,62,79
"S8623891",68,77,83,79
"S8623897",0,62,42,71
"S8623949",80,79,90,81
"S8623969",0,73,75,77
"S8624017",77,77,81,75
"S8624045",39,81,85,92
"S8624057",0,60,83,67
"S8624059",52,62,81,92
"S8624165",0,73,77,85
"S8624189",68,67,79,77
"S8624195",0,62,77,71
"S8624219",0,60,60,75
"S8624225",86,90,94,92
"S8624271",64,92,81,83
"S8624305",0,60,54,77
"S8624309",0,54,77,92
"S8624319",0,77,81,98
"S8624349",55,65,65,62
"S8624377",0,77,81,71
"S8624379",0,48,60,75
"S8624445",0,53,58.5,0
"S8625845",82,62,81,94
"S8626437",86,79,94,98
"S8626471",61,50,79,83
"S8626487",0,92,92,92
"S8626517",0,88,94,100
"S8626559",57,79,75,75
"S8626611",95,98,88,94
"S8626635",68,81,88,85
"S8626665",0,65,88,88
"S8626689",0,88,75,90
"S8626753",0,65,75,75
"S8626781",0,81,90,92
"S8626807",66,71,65,71
"S8626835",0,62,83,90
"S8626875",0,81,83,92
"S8626879",0,65,71,83
"S8626901",0,60,71,0
"S8626951",0,67,85,92
"S8627021",0,88,83,81
"S8627057",0,67,79,81
"S8627081",0,85,90,92
"S8627133",75,67,81,90
"S8627139",0,88,92,90
"S8627229",77,71,77,65
"S8627305",0,81,94,94
"S8627443",0,69,75,69
"S8627489",59,71,85,71
"S8627509",39,71,60,88
"S8627535",59,75,92,88
"S8627665",0,65,81,98
"S8627675",61,73,0,0
"S8627685",64,44,46,46
"S8629929",0,58,62,56
"S8629983",68,65,69,65
"S8630007",59,52,75,88
"S8630049",0,42,62,71
"S8630075",34,75,56,71
"S8630113",0,69,88,0
"S8630199",66,79,90,73
"S8630271",0,90,92,90
"S8630315",0,83,98,94
"S8630317",61,38,54,54
"S8630353",89,73,92,96
"S8630433",0,0,65,67
"S8630445",70,90,96,96
"S8630483",89,100,98,96
"S8630507",0,75,79,75
"S8630553",57,90,98,98
"S8630591",77,88,94,100
"S8630711",73,79,94,92
"S8630759",59,90,88,96
"S8630877",52,73,88,90
"S8632031",86,81,92,83
"S8632119",0,75,71,81
"S8632183",55,71,73,96
"S8632803",82,83,81,62
"S8632837",66,54,54,62
"S8632889",0,65,69,60
"S8632907",0,75,88,98
"S8632935",0,52,92,94
"S8632937",64,69,79,77
"S8632951",50,50,79,71
"S8632985",0,75,77,96
"S8632991",0,83,94,96
"S8632995",0,85,88,79
"S8633021",73,56,67,90
"S8633041",0,92,83,88
"S8633051",89,79,71,73
"S8633069",0,71,83,77
"S8633079",0,62,73,85
"S8633091",0,83,73,73
"S8633107",0,46,79,83
"S8633139",0,73,79,90
"S8633145",0,67,75,88
"S8633149",70,0,48,62
"S8633241",0,71,60,79
"S8633257",0,88,92,94
"S8633309",70,75,77,90
