"","StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent"
"1","S8013163",8331,"T02","2/09/13 14:16",100,20,20,20,100,100,100,60,100,100,100,80,NA,80,4095,"Yes"
"3","S8159757",8183,"T03","15/09/13 15:07",100,100,100,100,100,80,80,80,80,60,100,100,NA,100,4829,"Yes"
"4","S8199113",6511,"T13","10/09/13 7:53",100,100,80,100,80,100,80,80,100,80,100,100,NA,100,4026,"Yes"
"5","S8230417",8620,"T15","19/09/13 12:12",100,100,100,80,100,100,100,100,80,80,80,100,NA,100,4850,"Yes"
"6","S8240447",8632,"T08","9/09/13 13:18",80,100,100,100,100,100,80,100,100,100,100,100,NA,100,3891,"Yes"
"7","S8243177",8545,"T16","21/09/13 21:56",80,100,40,60,100,80,60,40,40,60,100,80,NA,60,4843,"Yes"
"8","S8243861",6477,"T04","N/A",20,20,20,20,20,20,20,20,20,20,20,20,NA,20,4097,"Yes"
"9","S8243861",8757,"T04","11/09/13 7:14",80,100,40,20,80,80,60,80,60,40,60,80,NA,60,4097,"Yes"
"10","S8265503",8114,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4813,"Yes"
"11","S8265503",8099,"T13","3/10/13 0:45",80,100,80,80,80,60,80,40,60,60,40,60,NA,60,4813,"Yes"
"12","S8282075",8488,"T05","16/09/13 14:07",100,100,80,100,100,100,100,80,80,80,60,100,NA,100,4844,"Yes"
"13","S8283853",8234,"T10","18/09/13 13:25",100,100,100,100,80,80,80,80,80,80,60,80,NA,80,4961,"Yes"
"14","S8286113",8246,"T04","17/09/13 2:49",100,100,60,100,100,100,80,80,80,80,60,100,NA,80,4812,"Yes"
"15","S8286709",6532,"T05","9/09/13 9:19",100,100,80,100,80,100,80,60,60,60,60,100,NA,80,3892,"Yes"
"16","S8288085",7768,"T02","12/09/13 10:54",100,100,60,80,100,100,80,80,100,60,100,100,NA,80,4845,"Yes"
"17","S8350395",8631,"T08","9/09/13 13:18",80,100,100,100,80,100,80,20,20,20,20,20,NA,60,4828,"Yes"
"19","S8353095",7877,"T13","11/09/13 7:14",100,100,100,80,100,100,100,100,100,100,40,100,NA,100,4099,"Yes"
"20","S8375791",6639,"T03","9/09/13 14:41",80,100,80,100,100,80,60,60,60,100,100,80,NA,80,4100,"Yes"
"21","S8377019",8482,"T04","19/09/13 11:27",100,100,80,20,80,100,100,80,80,60,40,80,NA,80,3895,"Yes"
"22","S8378431",8532,"T12","1/09/13 23:17",80,100,80,100,100,100,100,80,100,100,100,80,NA,100,4856,"Yes"
