"","SubID","MarkerID","AnnotType","Page","Xlocation","Ylocation","Xdim","Ydim","Filename","Annotation","Duration.sec","Consent"
"1",6446,"T02","Text",8,0.6218134,0.399212,0.1058799,0.02700732,"","References? ",NA,"Yes"
"2",6446,"T02","Text",7,0.1232525,0.5433183,0.7884457,0.04130532,"","As you increase stimulus you recruit more axons which result in increased number of action potentials and a larger total compound action potential ",NA,"Yes"
"3",6446,"T02","Recording",10,0.4455181,0.2623199,30,30,"annot__2013_09_10_03_13_50.m4a","Annotation 17",10,"Yes"
"4",6446,"T02","Text",4,0.5334088,0.3485112,0.08737665,0.02700732,"","Controls? ",NA,"Yes"
"5",6446,"T02","Text",6,0.1192434,0.4467418,0.8131168,0.04130532,"ann__2013_09_10_02_59_12.(null)","This graph illustrates the mean (n=3) latency period (ms) for the sciatic nerve of the Bufo Marinus in varying temperatures of preparation (oC) at a stimulus strength of 1-2 volts ",NA,"Yes"
"6",6446,"T02","Text",3,0.1900699,0.413581,0.05653783,0.02700732,"","N =3 ",NA,"Yes"
"7",6446,"T02","Text",8,0.8849713,0.2014231,0.0390625,0.02700732,"","Ok",NA,"Yes"
"8",6446,"T02","Text",8,0.5426604,0.6561788,0.05653783,0.02700732,"","Good",NA,"Yes"
"9",6446,"T02","Text",3,0.3365542,0.4449571,0.1418585,0.02700732,"","At a stimulus of 1V",NA,"Yes"
"10",6446,"T02","Freehand",10,0.1160567,0.219823,0.7905017,0.398358,"annot__2013_09_10_03_13_49.png","Annotation",NA,"Yes"
"11",6446,"T02","Recording",7,0.5108964,0.780824,30,30,"ann__2013_09_10_03_12_50.m4a","Annotation 13",44,"Yes"
"12",6446,"T02","Text",5,0.7225535,0.2695402,0.05653783,0.02700732,"","Great",NA,"Yes"
"13",6447,"T03","Recording",4,0.1854441,0.2080464,30,30,"annot__2013_08_30_09_00_57.m4a","Annotation 6",7,"Yes"
"14",6447,"T03","Text",2,0.4725877,0.8767442,0.08086623,0.03600977,"","Good.",NA,"Yes"
"15",6447,"T03","Recording",7,0.4869792,0.1746156,30,30,"annot__2013_08_30_09_16_27.m4a","Annotation 11",14,"Yes"
"16",6447,"T03","Recording",7,0.5043859,0.3244799,30,30,"ann__2013_08_30_09_17_39.m4a","Q6",32,"Yes"
"17",6447,"T03","Recording",3,0.448602,0.5312748,30,30,"annot__2013_08_30_09_00_42.m4a","Annotation 5",10,"Yes"
"18",6447,"T03","Recording",7,0.3759594,0.1153054,30,30,"annot__2013_08_30_09_15_30.m4a","Annotation 10",30,"Yes"
"19",6447,"T03","Recording",6,0.6781798,0.3469207,30,30,"annot__2013_08_30_09_11_46.m4a","Annotation 9",66,"Yes"
"20",6447,"T03","Recording",5,0.2820724,0.7840035,30,30,"annot__2013_08_30_09_07_35.m4a","Annotation 8",39,"Yes"
"21",6447,"T03","Recording",3,0.5342653,0.3676422,30,30,"annot__2013_08_30_08_58_21.m4a","Annotation 2",14,"Yes"
"22",6447,"T03","Recording",7,0.7583608,0.4510435,30,30,"annot__2013_08_30_09_17_41.m4a","Annotation 13",16,"Yes"
