"","SubID","MarkerID","AnnotType","Page","Xlocation","Ylocation","Xdim","Ydim","Filename","Annotation","Duration.sec","Consent"
"1",10608,"T37","Recording",4,0.09344164,0.5099472,30,30,"annot__2013_10_28_05_40_01.m4a","Annotation 6",30,"Yes"
"2",10608,"T37","Highlight",2,0.1422698,0.569234,0.702611,0.06356444,"annot__2013_10_28_05_34_08.png","Annotation",NA,"Yes"
"3",10608,"T37","Recording",3,0.08162009,0.3715988,30,30,"annot__2013_10_27_02_36_30.m4a","Annotation 1",6,"Yes"
"4",10608,"T37","Recording",2,0.09035775,0.7984291,30,30,"annot__2013_10_28_05_39_13.m4a","Annotation 5",24,"Yes"
"5",10608,"T37","Recording",2,0.0785362,0.2939091,30,30,"annot__2013_10_28_05_37_22.m4a","Annotation 4",81,"Yes"
"6",10609,"T35","Highlight",3,-0.00438594,0.3485946,0.9923246,0.06586488,"annot__2013_10_30_10_40_10.png","Annotation",NA,"Yes"
"7",10609,"T35","Text",4,0.5472863,0.4271322,0.3769189,0.03293244,"","This needs o be earlier in the discussion.",NA,"Yes"
"8",10609,"T35","Freehand",4,0.02439696,0.3956526,0.9237939,0.09492291,"annot__2013_10_30_10_41_19.png","Annotation",NA,"Yes"
"9",10609,"T35","Text",3,0.58909,0.3921816,0.3275768,0.03293244,"","They were really exactly the same?",NA,"Yes"
"10",10610,"T35","Text",3,0.2347862,0.2037887,0.5167215,0.03293244,"","Relative to what? You need to mention your control here.",NA,"Yes"
"11",10610,"T35","Recording",2,0.6117051,0.8047251,30,30,"annot__2013_10_30_09_14_57.m4a","Annotation 1",12,"Yes"
"12",10610,"T35","Highlight",3,0.1189693,0.1999143,0.2014803,0.3167326,"annot__2013_10_30_09_17_46.png","Annotation",NA,"Yes"
"13",10610,"T35","Recording",5,0.8885692,0.6403048,30,30,"annot__2013_10_30_09_22_05.m4a","Annotation 4",5,"Yes"
"14",10611,"T30","Recording",3,0.3103413,0.3225978,30,30,"annot__2013_10_30_08_40_30.m4a","Annotation 7",6,"Yes"
"15",10611,"T30","Highlight",3,0.552426,0.2291952,0.09765625,0.04942709,"annot__2013_10_30_08_40_13.png","Annotation",NA,"Yes"
"16",10611,"T30","Recording",2,0.4455181,0.282085,30,30,"annot__2013_10_30_08_39_16.m4a","Annotation 1",19,"Yes"
"17",10611,"T30","Recording",3,0.2435239,0.313512,30,30,"annot__2013_10_30_08_40_26.m4a","Annotation 6",2,"Yes"
"18",10611,"T30","Recording",2,0.6625206,0.215213,30,30,"ann__2013_10_30_08_39_38.m4a","Introduction Genre",15,"Yes"
"19",10611,"T30","Recording",3,0.369963,0.2546356,30,30,"annot__2013_10_30_08_40_15.m4a","Annotation 4",1,"Yes"
"20",10611,"T30","Highlight",3,0.1026933,0.2400982,0.2945107,0.08104589,"annot__2013_10_30_08_40_26.png","Annotation",NA,"Yes"
"21",10612,"T37","Recording",2,0.08932979,0.4275761,30,30,"annot__2013_10_30_05_54_27.m4a","Annotation 4",20,"Yes"
"22",10612,"T37","Recording",2,0.06979854,0.3029898,30,30,"annot__2013_10_30_05_53_44.m4a","Annotation 3",3,"Yes"
"23",10612,"T37","Recording",5,0.915296,0.2251381,30,30,"annot__2013_10_30_09_13_25.m4a","Annotation 11",44,"Yes"
"24",10612,"T37","Highlight",4,0.34375,0.782003,0.3721217,0.03014771,"annot__2013_10_30_08_58_01.png","Annotation",NA,"Yes"
"25",10612,"T37","Recording",2,0.09395561,0.7853531,30,30,"annot__2013_10_30_05_56_02.m4a","Annotation 6",10,"Yes"
"26",10612,"T37","Recording",2,0.9086143,0.8340253,30,30,"annot__2013_10_30_05_56_21.m4a","Annotation 7",25,"Yes"
"27",10612,"T37","Recording",2,0.09344164,0.6204488,30,30,"annot__2013_10_30_05_54_49.m4a","Annotation 5",20,"Yes"
"28",10612,"T37","Highlight",4,0.1006374,0.6236367,0.8239103,0.05194123,"annot__2013_10_30_08_55_54.png","Annotation",NA,"Yes"
"29",10612,"T37","Recording",4,0.07442436,0.6679502,30,30,"annot__2013_10_30_09_12_12.m4a","Annotation 10",59,"Yes"
"30",10612,"T37","Recording",4,0.7097039,0.3232493,30,30,"annot__2013_10_28_05_16_04.m4a","Annotation 1",97,"Yes"
