"","EventID","SubmissionID","StudentID","Consent","MarkerID","Audio.Annot","Log.Type","Interaction","Date","State","Pages","Start","End","Page.Size","msec.B4.scroll","AnnotID","From.time","Current.time","Duration","Filename"
"1",632546,8777,"S8285971","Yes","T30",14,2,"Automatic","20/09/13 11:48","opened",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2",632547,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:48","",NA,0,0,8,1075,NA,NA,NA,NA,""
"3",632548,8777,"S8285971","Yes","T30",14,2,"Annotations","20/09/13 11:48","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"4",632549,8777,"S8285971","Yes","T30",14,2,"Details","20/09/13 11:48","",7,NA,NA,NA,NA,NA,NA,NA,NA,""
"5",632550,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:48","",NA,1.1,41.4,5,8045,NA,NA,NA,NA,""
"6",632551,8777,"S8285971","Yes","T30",14,2,"Audio","20/09/13 11:49","pause",NA,NA,NA,NA,NA,10,0,7.964444444,31.17600907,"ann__2013_09_13_12_38_48.mp3"
"7",632552,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:49","",NA,41.6,62.5,5,11170,NA,NA,NA,NA,""
"8",632553,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:49","",NA,62.7,55.4,5,2878,NA,NA,NA,NA,""
"9",632554,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:49","",NA,55.7,57,5,861,NA,NA,NA,NA,""
"10",632555,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:49","",NA,57.1,61.5,5,1169,NA,NA,NA,NA,""
"11",632556,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:49","",NA,61.7,62.2,5,1809,NA,NA,NA,NA,""
"12",632557,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:49","",NA,62.4,66.9,5,2053,NA,NA,NA,NA,""
"13",632558,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:49","",NA,67.1,73,5,4712,NA,NA,NA,NA,""
"14",632559,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:49","",NA,73.2,78.5,5,1313,NA,NA,NA,NA,""
"15",632560,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:49","",NA,78.6,80.9,5,783,NA,NA,NA,NA,""
"16",632561,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:49","",NA,81.3,84.9,5,1327,NA,NA,NA,NA,""
"17",632562,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:49","",NA,85.1,90,5,2141,NA,NA,NA,NA,""
"18",632563,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:49","",NA,90.2,93.1,5,750,NA,NA,NA,NA,""
"19",632564,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:49","",NA,93.3,95.2,5,875,NA,NA,NA,NA,""
"20",632565,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:49","",NA,95.4,95.6,5,1124,NA,NA,NA,NA,""
"21",632566,8777,"S8285971","Yes","T30",14,2,"Automatic","20/09/13 11:49","closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"22",632567,8777,"S8285971","Yes","T30",14,2,"Scroll","20/09/13 11:49","",NA,95.4,100,Inf,4604,NA,NA,NA,NA,""
"23",630569,8780,"S8530747","Yes","T30",11,2,"Automatic","20/09/13 2:34","opened",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"24",630570,8780,"S8530747","Yes","T30",11,2,"Annotations","20/09/13 2:34","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"25",630571,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:34","",NA,0,0,7,4606,NA,NA,NA,NA,""
"26",630572,8780,"S8530747","Yes","T30",11,2,"Details","20/09/13 2:34","",7,NA,NA,NA,NA,NA,NA,NA,NA,""
"27",630573,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,0,5.6,4,8612,NA,NA,NA,NA,""
"28",630574,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,5.6,9.2,4,1554,NA,NA,NA,NA,""
"29",630575,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,9.2,10.5,4,6033,NA,NA,NA,NA,""
"30",630576,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,10.5,10.3,4,1696,NA,NA,NA,NA,""
"31",630577,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,10.3,10.2,4,1042,NA,NA,NA,NA,""
"32",630578,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,10.2,9.8,4,3763,NA,NA,NA,NA,""
"33",630579,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,9.7,9.9,4,2139,NA,NA,NA,NA,""
"34",630580,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,9.9,10.3,4,927,NA,NA,NA,NA,""
"35",630581,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,10.3,10.6,4,736,NA,NA,NA,NA,""
"36",630582,8780,"S8530747","Yes","T30",11,2,"Audio","20/09/13 2:35","finished",NA,NA,NA,NA,NA,7,0,14.832,14.832,"ann__2013_09_12_11_12_21.mp3"
"37",630583,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,10.6,11.2,4,4436,NA,NA,NA,NA,""
"38",630584,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,11.3,12.2,4,1190,NA,NA,NA,NA,""
"39",630585,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,12.2,14.6,4,7051,NA,NA,NA,NA,""
"40",630586,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,14.5,14.5,4,1514,NA,NA,NA,NA,""
"41",630587,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,11.5,11.5,4,1129,NA,NA,NA,NA,""
"42",630588,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,14.5,11.5,4,1099,NA,NA,NA,NA,""
"43",630589,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,11.5,12.1,4,1907,NA,NA,NA,NA,""
"44",630590,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,12.1,12.5,4,1173,NA,NA,NA,NA,""
"45",630591,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,12.5,12.6,4,2256,NA,NA,NA,NA,""
"46",630592,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:35","",NA,12.6,12.7,4,882,NA,NA,NA,NA,""
"47",630593,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:36","",NA,12.7,13,4,21770,NA,NA,NA,NA,""
"48",630594,8780,"S8530747","Yes","T30",11,2,"Audio","20/09/13 2:36","finished",NA,NA,NA,NA,NA,2,0,32.508,32.508,"annot__2013_09_12_11_14_52.mp3"
"49",630595,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:36","",NA,13,13.5,4,4159,NA,NA,NA,NA,""
"50",630596,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:36","",NA,13.5,13.8,4,6443,NA,NA,NA,NA,""
"51",630597,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:36","",NA,13.8,15,4,1416,NA,NA,NA,NA,""
"52",630598,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:36","",NA,15,20.1,4,4103,NA,NA,NA,NA,""
"53",630599,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:36","",NA,20.1,21.2,4,1093,NA,NA,NA,NA,""
"54",630600,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:36","",NA,21.2,21.5,4,8517,NA,NA,NA,NA,""
"55",630601,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:36","",NA,21.7,22.6,4,1307,NA,NA,NA,NA,""
"56",630602,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:36","",NA,21.5,21.7,4,1237,NA,NA,NA,NA,""
"57",630603,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:36","",NA,22.6,27.8,4,1778,NA,NA,NA,NA,""
"58",630604,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:36","",NA,27.8,22.1,4,3353,NA,NA,NA,NA,""
"59",630605,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:36","",NA,22.1,21.3,4,1654,NA,NA,NA,NA,""
"60",630606,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:36","",NA,21.3,22.1,4,870,NA,NA,NA,NA,""
"61",630607,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:36","",NA,22.1,19.2,4,2139,NA,NA,NA,NA,""
"62",630608,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:36","",NA,19.2,21.6,4,2601,NA,NA,NA,NA,""
"63",630609,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:37","",NA,21.6,22.7,4,22009,NA,NA,NA,NA,""
"64",630610,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:37","",NA,22.6,21.5,4,858,NA,NA,NA,NA,""
"65",630611,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:37","",NA,21.5,21.5,4,7050,NA,NA,NA,NA,""
"66",630612,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:37","",NA,21.5,22.3,4,11217,NA,NA,NA,NA,""
"67",630613,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:37","",NA,22.3,24.9,4,2355,NA,NA,NA,NA,""
"68",630614,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:37","",NA,25,21.3,4,1869,NA,NA,NA,NA,""
"69",630615,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:37","",NA,21.4,26.9,4,6401,NA,NA,NA,NA,""
"70",630616,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:37","",NA,26.9,29.6,4,1122,NA,NA,NA,NA,""
"71",630617,8780,"S8530747","Yes","T30",11,2,"Audio","20/09/13 2:37","finished",NA,NA,NA,NA,NA,10,0,76.608,76.608,"ann__2013_09_12_11_16_10.mp3"
"72",630618,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:37","",NA,29.6,29.7,4,2367,NA,NA,NA,NA,""
"73",630619,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:37","",NA,29.7,29.5,4,16190,NA,NA,NA,NA,""
"74",630620,8780,"S8530747","Yes","T30",11,2,"Audio","20/09/13 2:38","finished",NA,NA,NA,NA,NA,3,0,24.372,24.372,"ann__2013_09_12_11_16_55.mp3"
"75",630621,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:38","",NA,29.5,32,4,14261,NA,NA,NA,NA,""
"76",630622,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:38","",NA,32,31,4,977,NA,NA,NA,NA,""
"77",630623,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:38","",NA,31,30.7,4,2753,NA,NA,NA,NA,""
"78",630624,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:38","",NA,30.7,31.3,4,1228,NA,NA,NA,NA,""
"79",630625,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:38","",NA,31.3,31.3,4,2323,NA,NA,NA,NA,""
"80",630626,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:38","",NA,31.3,31.1,4,2631,NA,NA,NA,NA,""
"81",630627,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:38","",NA,31.1,31.1,4,973,NA,NA,NA,NA,""
"82",630628,8780,"S8530747","Yes","T30",11,2,"Audio","20/09/13 2:38","finished",NA,NA,NA,NA,NA,5,0,16.488,16.488,"ann__2013_09_12_11_16_53.mp3"
"83",630629,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:38","",NA,31.1,30.9,4,10969,NA,NA,NA,NA,""
"84",630630,8780,"S8530747","Yes","T30",11,2,"Audio","20/09/13 2:38","finished",NA,NA,NA,NA,NA,6,0,10.116,10.116,"annot__2013_09_12_11_17_52.mp3"
"85",630631,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:38","",NA,31,32.7,4,7197,NA,NA,NA,NA,""
"86",630632,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:38","",NA,32.7,33.5,4,4020,NA,NA,NA,NA,""
"87",630633,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:38","",NA,33.6,34.3,4,1872,NA,NA,NA,NA,""
"88",630634,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,34.4,41.5,4,18618,NA,NA,NA,NA,""
"89",630635,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,41.5,34,4,1593,NA,NA,NA,NA,""
"90",630636,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,34,35.1,4,1043,NA,NA,NA,NA,""
"91",630637,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,35.1,41.7,4,5303,NA,NA,NA,NA,""
"92",630638,8780,"S8530747","Yes","T30",11,2,"Audio","20/09/13 2:39","finished",NA,NA,NA,NA,NA,4,0,31.14,31.14,"ann__2013_09_12_11_16_57.mp3"
"93",630639,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,41.7,41.4,4,4179,NA,NA,NA,NA,""
"94",630640,8780,"S8530747","Yes","T30",11,2,"Audio","20/09/13 2:39","finished",NA,NA,NA,NA,NA,0,0,11.556,11.556,"annot__2013_09_12_11_17_19.mp3"
"95",630641,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,41.4,48,4,11125,NA,NA,NA,NA,""
"96",630642,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,48,57.6,4,2211,NA,NA,NA,NA,""
"97",630643,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,57.6,57.7,4,1443,NA,NA,NA,NA,""
"98",630644,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,57.7,60.4,4,4476,NA,NA,NA,NA,""
"99",630645,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,60.4,57.7,4,1484,NA,NA,NA,NA,""
"100",630646,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,57.7,62.4,4,1229,NA,NA,NA,NA,""
"101",630647,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,62.5,63,4,4243,NA,NA,NA,NA,""
"102",630648,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,63,63.4,4,2054,NA,NA,NA,NA,""
"103",630649,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,63.4,63.6,4,3262,NA,NA,NA,NA,""
"104",630650,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,63.6,66.5,4,2617,NA,NA,NA,NA,""
"105",630651,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,66.5,67.1,4,2211,NA,NA,NA,NA,""
"106",630652,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,67.1,69.1,4,973,NA,NA,NA,NA,""
"107",630653,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,69.1,69.9,4,3774,NA,NA,NA,NA,""
"108",630654,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:39","",NA,69.9,70.5,4,823,NA,NA,NA,NA,""
"109",630655,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:40","",NA,70.5,70.6,4,3053,NA,NA,NA,NA,""
"110",630656,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:40","",NA,70.6,70.6,4,758,NA,NA,NA,NA,""
"111",630657,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:40","",NA,70.6,74,4,2661,NA,NA,NA,NA,""
"112",630658,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:40","",NA,74,74.6,4,1920,NA,NA,NA,NA,""
"113",630659,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:40","",NA,74.6,76.1,4,1123,NA,NA,NA,NA,""
"114",630660,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:40","",NA,76.1,79.5,4,2835,NA,NA,NA,NA,""
"115",630661,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:40","",NA,79.5,81.3,4,897,NA,NA,NA,NA,""
"116",630662,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:40","",NA,81.3,82.3,4,760,NA,NA,NA,NA,""
"117",630663,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:40","",NA,82.3,82.9,4,1550,NA,NA,NA,NA,""
"118",630664,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:40","",NA,82.9,87.1,4,2241,NA,NA,NA,NA,""
"119",630665,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:40","",NA,87.1,89.7,4,804,NA,NA,NA,NA,""
"120",630666,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:40","",NA,89.7,92.2,4,1190,NA,NA,NA,NA,""
"121",630667,8780,"S8530747","Yes","T30",11,2,"Scroll","20/09/13 2:40","",NA,92.2,96.2,4,3128,NA,NA,NA,NA,""
"122",691903,8780,"S8530747","Yes","T30",11,2,"Automatic","28/10/13 20:09","opened",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"123",691904,8780,"S8530747","Yes","T30",11,2,"Scroll","28/10/13 20:09","",NA,0,0,6,5447,NA,NA,NA,NA,""
"124",691905,8780,"S8530747","Yes","T30",11,2,"Annotations","28/10/13 20:09","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"125",691906,8780,"S8530747","Yes","T30",11,2,"Details","28/10/13 20:09","",7,NA,NA,NA,NA,NA,NA,NA,NA,""
"126",691907,8780,"S8530747","Yes","T30",11,2,"Scroll","28/10/13 20:09","",NA,0,96.6,4,8963,NA,NA,NA,NA,""
"127",691908,8780,"S8530747","Yes","T30",11,2,"Scroll","28/10/13 20:09","",NA,96.5,96.5,4,1341,NA,NA,NA,NA,""
"128",691909,8780,"S8530747","Yes","T30",11,2,"Scroll","28/10/13 20:09","",NA,96.5,96.6,4,11274,NA,NA,NA,NA,""
"129",691910,8780,"S8530747","Yes","T30",11,2,"Automatic","28/10/13 20:21","closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"130",691911,8780,"S8530747","Yes","T30",11,2,"Scroll","28/10/13 20:21","",NA,96.5,96.6,4,687107,NA,NA,NA,NA,""
"131",633442,8693,"S8531973","Yes","T36",8,2,"Automatic","20/09/13 13:59","opened",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"132",633443,8693,"S8531973","Yes","T36",8,2,"Scroll","20/09/13 13:59","",NA,0,0,5,1387,NA,NA,NA,NA,""
