Submission ID,Marking_Time (seconds),Text (%),Drawing (%),Recording (%)
4422,360,0,0,100
4423,507,0,0,100
4424,477,60,0,40
4425,425,0,0,100
4426,1106,17,0,83
4427,1111,80,7,13
4428,332,0,0,100
4429,1335,10,38,52
4430,620,31,0,69
4431,517,33,11,56
4432,952,33,0,67
4433,349,0,0,100
4434,114,33,66,0
4435,507,79,7,14
4436,671,0,18,82
4437,243,100,0,0
4438,363,0,0,100
4439,230,25,0,75
4440,510,0,0,100
4441,364,100,0,0
4442,643,44,0,56
4443,540,87,13,0
4444,1105,45,54,0
4445,591,11,0,89
4446,219,33,0,67
4447,1040,29,0,71
4448,803,7,61,32
4449,1362,80,0,20
4450,283,0,0,100
4451,384,0,0,100
4452,300,91,9,0
4453,557,17,17,67
4454,297,0,0,100
4455,1064,0,21,79
4456,835,0,0,100
4457,1371,80,13,7
4458,1312,0,53,47
4459,352,0,0,100
4460,387,0,0,100
4461,512,0,0,100
4462,931,58,21,21
4463,1357,94,0,6
4464,1059,82,18,0
4465,1850,0,35,65
4466,1239,70,30,0
4467,893,83,11,6
4468,2864,81,6,13
4469,257,0,0,100
4470,745,43,0,57
4471,526,100,0,0
4472,146,100,0,0
4473,1842,0,0,100
4474,848,15,48,37
4475,405,81,13,6
4476,1125,100,0,0
4477,528,100,0,0
4478,497,40,0,60
4479,439,29,14,57
4480,862,17,0,83
4481,2163,0,43,57
4482,985,82,9,9
4483,278,0,0,100
4484,959,0,0,100
4485,756,50,17,33
4486,376,0,0,100
4487,433,0,0,100
4488,442,17,0,83
4489,0,0,0,0
4490,525,43,14,43
4491,477,100,0,0
4492,0,0,0,0
4493,396,0,13,88
4494,1808,78,11,11
4495,271,24,24,53
4496,455,77,8,15
4497,1801,75,25,0
4498,530,75,8,17
4499,751,64,36,0
4500,619,0,0,100
4501,726,0,0,100
4502,462,0,0,100
4503,815,0,0,100
4504,683,78,0,22
4505,430,0,0,100
4506,336,0,0,100
4507,279,0,0,100
4508,628,82,0,18
4509,588,33,0,67
4510,799,100,0,0
4511,531,0,50,50
4512,0,0,0,0
4513,581,42,25,33
4514,938,0,0,100
4515,706,83,0,17
4516,71,88,0,13
4517,2460,63,37,0
4518,583,76,24,0
4519,445,17,0,83
4520,355,33,17,50
4521,209,18,71,13
4522,251,0,0,100
4523,781,0,0,100
4524,473,15,50,35
4525,2227,44,22,33
