"SubmissionID","finished","pause","scrubbed","unused","Recording","finished.p","pause.p","scrubbed.p","unused.p","project","course","sem","report"
1486,1,0,0,0,12,8,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1487,0,0,0,0,1,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1488,2,0,0,0,7,29,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1489,3,4,0,0,10,30,40,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1490,11,0,0,0,11,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1491,0,0,1,0,2,0,0,50,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1492,0,0,0,0,1,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1493,3,0,0,0,6,50,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1494,0,0,0,0,24,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1495,1,0,0,0,2,50,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1497,0,0,0,0,11,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1499,4,1,0,0,9,44,11,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1500,0,0,0,0,12,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1501,2,1,0,0,4,50,25,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1503,6,1,0,0,9,67,11,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1504,2,1,1,0,6,33,17,17,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1505,0,0,0,0,8,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1507,0,1,0,0,4,0,25,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1508,0,0,0,0,4,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1509,4,0,0,0,7,57,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1510,2,0,0,0,8,25,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1512,3,0,0,0,9,33,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1513,0,0,0,0,14,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1515,5,0,0,0,11,45,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1516,0,0,0,0,16,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1517,3,2,0,0,8,38,25,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1519,0,0,1,0,10,0,0,10,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1520,2,0,0,0,5,40,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1522,1,0,0,0,9,11,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1523,0,0,0,0,7,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1524,3,0,0,0,11,27,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1525,0,0,0,0,1,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1526,0,0,0,0,9,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1527,1,0,0,0,1,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1528,0,0,0,0,16,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1530,0,0,0,0,6,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1531,7,0,1,0,9,78,0,11,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1532,2,0,1,0,2,100,0,50,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1533,0,0,0,0,7,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1534,1,0,0,0,1,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1535,0,0,0,0,9,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1536,3,0,0,0,11,27,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1537,4,0,0,0,9,44,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1538,0,0,0,0,4,0,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
