"SubmissionID","finished","pause","scrubbed","unused","Recording","finished.p","pause.p","scrubbed.p","unused.p","project","course","sem","report"
1486,2,0,0,10,12,17,0,0,83,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1487,1,0,0,0,1,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1488,7,0,0,0,7,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1489,8,8,0,2,10,80,80,0,20,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1490,11,1,0,0,11,100,9,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1491,2,0,1,0,2,100,0,50,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1492,1,0,0,0,1,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1493,6,1,0,0,6,100,17,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1494,0,0,0,24,24,0,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1495,1,1,1,1,2,50,50,50,50,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1497,1,1,0,10,11,9,9,0,91,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1499,6,2,2,3,9,67,22,22,33,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1500,12,0,0,0,12,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1501,4,2,0,0,4,100,50,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1503,9,1,0,0,9,100,11,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1504,6,3,1,0,6,100,50,17,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1505,0,0,0,8,8,0,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1507,1,1,0,3,4,25,25,0,75,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1508,0,0,0,4,4,0,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1509,6,0,1,0,7,86,0,14,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1510,7,0,0,1,8,88,0,0,12,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1512,9,1,0,0,9,100,11,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1513,10,2,0,2,14,71,14,0,14,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1515,11,0,0,0,11,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1516,0,0,0,16,16,0,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1517,8,3,0,0,8,100,38,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1519,2,0,1,7,10,20,0,10,70,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1520,5,0,0,0,5,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1522,9,0,0,0,9,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1523,6,0,0,1,7,86,0,0,14,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1524,9,2,0,2,11,82,18,0,18,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1525,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1526,9,0,0,0,9,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1527,1,0,0,0,1,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1528,0,0,0,16,16,0,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1530,1,0,0,5,6,17,0,0,83,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1531,9,0,1,0,9,100,0,11,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
