"SubmissionID","marking.sec","Text","Drawing","Recording","project","course","sem","report","marking.min"
1487,392,94,0,6,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",6.53
1486,2931,42,8,50,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",48.85
1488,1587,50,6,44,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",26.45
1489,524,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",8.73
1490,1029,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",17.15
1491,4203,52,40,7,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",70.05
1492,1375,78,11,11,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",22.92
1493,601,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.02
1494,2654,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",44.23
1495,1452,77,8,15,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",24.2
1497,855,27,0,73,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",14.25
1499,4035,18,0,82,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",67.25
1500,1306,14,0,86,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",21.77
1501,3352,55,9,36,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",55.87
1503,625,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.42
1504,426,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",7.1
1505,1872,64,0,36,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",31.2
1507,1793,71,16,13,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",29.88
1508,1634,77,10,13,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",27.23
1509,570,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.5
1510,614,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.23
1512,904,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",15.07
1513,7287,5,22,74,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",121.45
1515,2024,35,0,65,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",33.73
1516,805,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.42
1517,512,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",8.53
1519,2710,27,7,67,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",45.17
1520,1145,69,17,14,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",19.08
1522,830,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.83
1523,2640,64,11,25,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",44
1524,807,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.45
1525,1114,93,0,7,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",18.57
1526,882,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",14.7
1527,437,92,0,8,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",7.28
1528,1469,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",24.48
1529,962,76,24,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",16.03
1530,648,80,0,20,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.8
1531,597,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.95
1532,602,83,6,11,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.03
1533,2498,68,7,25,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",41.63
1534,461,75,13,13,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",7.68
1535,1415,44,6,50,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",23.58
1536,1449,27,0,73,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",24.15
1537,1478,44,0,56,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",24.63
1538,1820,72,6,22,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",30.33
1540,743,92,0,8,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",12.38
1541,1296,67,6,28,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",21.6
1542,442,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",7.37
1543,1064,64,0,36,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",17.73
1544,821,67,28,6,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.68
1545,2546,57,0,43,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",42.43
1546,440,85,8,8,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",7.33
1547,578,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.63
1548,1083,50,0,50,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",18.05
1549,1824,33,8,58,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",30.4
1550,1488,92,0,8,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",24.8
1552,421,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",7.02
1553,1330,92,0,8,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",22.17
1554,998,71,6,24,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",16.63
1555,1177,47,7,47,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",19.62
1556,1556,94,0,6,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",25.93
1557,1127,33,8,58,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",18.78
1558,1750,81,0,19,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",29.17
1559,353,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",5.88
1560,2075,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",34.58
1561,3189,75,25,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",53.15
1562,1623,63,0,38,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",27.05
1563,1417,83,12,6,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",23.62
1564,1356,75,19,6,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",22.6
1566,1397,79,21,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",23.28
1567,1738,79,8,13,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",28.97
1568,1786,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",29.77
1569,928,94,0,6,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",15.47
1572,1575,71,0,29,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",26.25
1573,500,73,20,7,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",8.33
1645,650,83,8,9,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.83
1575,996,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",16.6
1576,637,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.62
1577,1094,55,0,45,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",18.23
1578,719,86,7,7,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",11.98
1579,924,67,0,33,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",15.4
1580,1431,47,0,53,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",23.85
1581,1650,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",27.5
1582,1077,86,14,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",17.95
1584,1561,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",26.02
1586,932,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",15.53
1587,988,46,15,38,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",16.47
1588,2828,72,7,21,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",47.13
1589,1580,87,0,13,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",26.33
1590,882,65,0,35,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",14.7
1591,1824,36,27,36,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",30.4
1592,742,77,23,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",12.37
1593,1298,50,10,40,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",21.63
1595,427,94,0,6,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",7.12
1596,382,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",6.37
1597,811,40,0,60,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.52
1598,336,100,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",5.6
