"SubmissionID","StudentID","project","course","sem","report"
1711,"S8110327","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2271,"S8112239","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1755,"S8233701","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2261,"S8234819","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1929,"S8236749","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1934,"S8243911","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2026,"S8244607","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1707,"S8287253","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1793,"S8345077","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
5454,"S8349949","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1932,"S8352301","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2249,"S8392669","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1973,"S8393733","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1978,"S8402295","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2013,"S8408443","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1749,"S8409235","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1527,"S8412939","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1725,"S8419401","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1922,"S8421487","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1914,"S8440585","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1736,"S8465969","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2083,"S8469617","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1839,"S8470217","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2050,"S8471467","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1928,"S8472157","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1699,"S8472529","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2028,"S8474623","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2293,"S8500505","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1781,"S8514165","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1723,"S8518775","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1693,"S8522707","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1808,"S8522735","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1995,"S8523451","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2016,"S8523551","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1910,"S8524785","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2277,"S8525405","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2035,"S8526409","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2222,"S8527007","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2001,"S8527483","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1522,"S8528077","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1538,"S8529073","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1798,"S8531393","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1732,"S8531397","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1672,"S8533063","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1771,"S8533845","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1867,"S8534169","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1734,"S8534399","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1963,"S8534493","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2002,"S8538277","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1692,"S8546995","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1919,"S8550039","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1674,"S8550417","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2038,"S8550529","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1969,"S8552401","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1731,"S8559519","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2196,"S8562839","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1499,"S8563497","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2303,"S8564119","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1556,"S8565137","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1753,"S8566047","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1862,"S8567051","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1557,"S8568717","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1573,"S8569481","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2193,"S8571601","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2240,"S8572003","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2176,"S8572813","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2159,"S8572981","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1599,"S8573027","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1892,"S8575041","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2044,"S8575395","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1764,"S8576147","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1921,"S8576407","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2170,"S8576443","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1882,"S8576779","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1985,"S8576823","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2151,"S8576833","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2251,"S8576965","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1588,"S8577053","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1803,"S8577063","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1967,"S8577203","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1884,"S8577231","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1785,"S8577439","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1541,"S8577607","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2020,"S8577743","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1546,"S8577791","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1885,"S8578817","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1562,"S8578937","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1926,"S8579457","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1727,"S8579837","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1492,"S8580053","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1905,"S8580059","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2215,"S8580417","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1523,"S8580597","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2164,"S8580779","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1840,"S8580813","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1676,"S8580939","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2027,"S8581209","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2154,"S8581563","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1569,"S8581749","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2107,"S8582385","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1823,"S8582439","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1955,"S8582443","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2047,"S8582581","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2066,"S8582679","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2350,"S8582703","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1889,"S8583261","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1680,"S8583279","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
