"StudentID","course","sem"
"S8581527","BIOL1040",1
"S8627131","BIOL1040",1
"S8633007","BIOL1040",1
"S8638497","BIOL1040",1
"S8639757","BIOL1040",1
"S8646567","BIOL1040",1
"S8646581","BIOL1040",1
"S8160175","BIOL1040",2
"S8280849","BIOL1040",2
"S8282075","BIOL1040",2
"S8461075","BIOL1040",2
"S8469311","BIOL1040",2
"S8515969","BIOL1040",2
"S8517901","BIOL1040",2
"S8575435","BIOL1040",2
"S8583647","BIOL1040",2
"S8593855","BIOL1040",2
"S8606355","BIOL1040",2
"S8630513","BIOL1040",2
"S8630547","BIOL1040",2
"S8633265","BIOL1040",2
"S8634479","BIOL1040",2
"S8635465","BIOL1040",2
"S8637859","BIOL1040",2
"S8643007","BIOL1040",2
"S8643965","BIOL1040",2
"S8644499","BIOL1040",2
"S8645303","BIOL1040",2
"S8647935","BIOL1040",2
"S8651153","BIOL1040",2
"S8651301","BIOL1040",2
"S8343073","BIOM2011",1
"S8411017","BIOM2011",1
"S8466459","BIOM2011",1
"S8470693","BIOM2011",1
"S8522785","BIOM2011",1
"S8534971","BIOM2011",1
"S8579713","BIOM2011",1
"S8582135","BIOM2011",1
"S8627317","BIOM2011",1
"S8580223","BIOM2011",2
"S8587977","BIOM2011",2
"S8600971","BIOM2011",2
